< 0.5 to < 0.5,< 0.5 to > 0.5,> 0.5 to > 0.5,> 0.5 to < 0.5
20.0,4.0,6.8,11.0
142.8,8.6,3.6,2.6
66.2,7.0,21.8,2.2
8.0,2.4,24.6,6.6
2.8,5.8,6.4,2.4
52.0,16.2,18.0,6.8
4.0,27.2,5.8,9.0
2.4,27.6,8.4,4.2
43.0,23.6,11.0,8.2
3.2,5.8,35.2,4.0
3.2,4.2,2.6,4.6
4.0,21.6,10.2,2.2
2.4,5.2,18.8,24.6
22.0,2.8,7.8,2.4
10.4,11.0,9.6,3.0
11.0,2.6,4.2,3.0
2.4,25.0,7.2,10.4
9.2,3.4,25.2,6.6
36.4,5.0,18.8,6.4
3.0,18.2,3.8,51.0
11.2,21.6,19.6,7.2
4.8,4.6,6.4,8.4
4.0,77.2,7.0,5.4
11.4,7.2,11.2,8.2
12.2,9.2,15.2,2.0
11.0,10.2,6.6,4.2
61.4,3.6,7.4,3.2
3.4,4.4,24.4,3.6
142.8,22.8,4.8,3.4
4.2,128.4,12.6,5.6
13.4,3.6,2.6,2.2
46.2,7.2,4.2,4.4
13.8,2.2,2.4,17.4
3.6,10.2,11.6,4.0
7.0,3.6,5.6,7.8
40.2,3.8,24.8,6.4
11.8,7.4,28.2,40.8
3.2,22.6,24.4,15.2
19.6,10.2,3.2,9.8
2.6,4.8,26.2,3.0
7.0,6.6,17.0,14.4
10.8,4.0,3.8,3.8
2.2,6.6,11.0,2.2
11.8,11.4,13.2,3.4
2.6,5.2,52.4,23.8
19.6,2.8,47.2,3.6
85.2,10.6,11.8,9.0
4.8,11.2,22.2,3.0
28.6,15.8,4.4,4.8
4.4,3.0,14.6,2.0
8.6,17.4,21.2,5.0
2.2,8.0,5.2,23.4
130.8,2.4,4.2,4.6
6.2,17.4,2.4,8.4
3.4,4.8,3.4,8.6
8.4,2.4,9.8,10.2
7.4,7.4,5.0,5.2
7.4,2.8,3.2,7.6
3.0,6.2,2.8,2.8
3.4,27.6,3.0,11.2
41.2,11.2,5.4,4.4
7.8,20.0,4.8,5.2
9.6,3.6,4.8,3.0
5.4,6.0,4.4,4.4
18.0,2.4,2.8,2.2
6.0,9.6,3.4,2.8
5.8,2.4,15.2,3.6
36.4,3.6,29.2,6.2
4.2,15.2,4.4,4.8
2.8,25.4,10.8,13.2
10.6,9.8,16.8,13.0
4.8,3.2,6.0,5.2
4.4,14.2,6.4,10.2
4.4,5.4,6.8,5.0
28.2,8.6,21.8,6.4
45.8,19.0,45.6,3.2
2.2,3.4,32.8,3.2
17.4,7.8,43.6,14.4
8.2,27.8,9.0,67.4
16.8,34.6,3.2,8.8
56.6,4.0,8.0,14.8
17.0,5.4,3.6,3.6
2.2,81.6,13.2,2.6
7.0,23.8,8.6,15.2
