< 0.5 to < 0.5,< 0.5 to > 0.5,> 0.5 to > 0.5,> 0.5 to < 0.5
3.4,4.4,38.4,3.2
2.6,3.6,7.6,4.2
6.6,6.6,15.0,2.2
57.6,4.4,3.4,3.8
13.2,3.8,2.8,3.4
56.8,2.2,2.6,3.2
200.2,23.0,2.4,11.6
10.4,7.2,10.0,8.4
4.8,12.0,13.0,7.6
7.6,3.2,11.2,5.8
3.6,26.4,6.6,21.6
13.8,6.2,7.0,3.0
34.8,16.8,16.8,2.6
3.6,5.0,9.0,5.6
13.4,6.4,2.6,9.6
23.0,5.0,10.6,2.8
3.8,18.8,3.2,21.6
42.2,12.8,9.8,3.0
3.2,10.0,6.4,6.4
20.6,6.8,17.0,6.6
16.4,3.4,8.8,12.6
2.6,51.2,15.8,2.0
3.2,3.0,5.0,2.6
4.2,10.8,8.0,7.8
8.2,34.2,2.0,7.8
8.4,15.6,29.6,4.0
9.2,16.8,53.2,5.8
31.0,18.4,2.8,4.2
4.0,59.2,3.4,3.8
12.6,18.8,2.2,2.0
10.6,4.8,5.2,7.0
13.8,20.6,31.0,5.0
17.2,6.4,4.8,2.2
4.0,7.4,2.6,5.8
21.2,11.6,4.0,4.8
9.2,6.2,3.6,7.0
4.8,5.4,9.0,9.0
24.4,2.8,3.8,2.2
2.2,14.8,2.4,6.2
23.0,8.0,2.6,4.8
5.4,4.2,2.4,8.4
9.0,46.6,15.2,14.8
19.8,2.0,3.8,14.0
52.4,2.0,6.6,10.0
12.4,4.4,3.6,2.6
51.2,14.4,11.4,2.0
6.4,2.6,32.6,4.2
2.6,3.2,24.2,2.2
3.2,3.2,8.6,2.8
104.8,2.6,3.4,7.4
32.2,13.4,5.2,2.2
6.8,16.6,2.2,5.2
9.2,7.8,2.8,6.2
8.2,2.0,3.2,12.8
5.4,16.0,6.6,3.2
5.2,2.6,4.8,2.2
13.4,11.6,6.0,3.6
7.4,2.2,11.2,2.6
8.6,5.6,15.6,3.0
21.2,5.8,5.0,8.0
48.8,2.4,5.0,19.6
13.2,37.4,24.2,6.0
3.0,9.2,3.4,3.6
65.0,6.2,3.8,11.2
35.4,3.0,3.4,4.0
2.0,2.0,3.8,35.6
3.6,7.0,5.2,8.2
9.0,24.0,4.4,3.8
7.4,6.4,21.4,2.8
13.8,14.4,3.0,3.6
10.2,2.0,16.0,3.6
24.8,5.2,8.8,17.6
4.8,5.4,24.0,9.8
4.2,3.0,27.8,55.4
4.6,4.2,7.4,4.4
20.2,3.0,22.8,7.6
12.8,8.6,4.8,2.4
9.0,5.4,7.0,4.6
2.6,6.6,41.4,5.2
11.4,4.2,2.4,23.8
17.0,3.4,8.8,8.8
4.8,17.8,11.8,4.4
13.4,4.6,7.0,8.6
8.2,4.4,4.8,3.6
26.4,3.6,6.6,19.4
16.2,9.0,3.6,4.4
14.6,45.0,21.6,2.4
2.2,30.4,4.6,2.2
11.6,13.0,46.2,8.6
5.2,29.8,16.8,3.0
22.8,5.4,11.0,5.0
7.2,17.0,5.2,11.8
2.2,11.6,13.8,6.2
5.0,6.6,3.2,11.0
6.2,14.6,15.0,17.4
6.4,2.6,6.0,2.2
2.8,3.8,8.2,5.6
21.2,3.2,2.2,4.0
2.6,29.2,20.2,7.2
16.8,4.0,2.6,2.2
2.0,10.0,2.2,2.0
5.0,3.8,30.8,2.2
38.0,5.6,2.4,2.2
15.0,11.8,12.2,2.8
3.2,29.0,23.4,18.8
2.4,2.2,15.8,9.8
7.4,3.8,8.8,3.6
9.8,8.2,13.4,2.8
20.2,2.8,10.8,4.6
23.4,5.0,8.0,14.8
6.0,2.0,8.8,6.6
12.0,2.2,14.8,2.4
3.6,16.2,41.8,3.6
8.4,2.0,2.4,3.6
3.4,8.4,36.2,4.6
13.6,3.6,11.0,2.0
4.2,5.2,2.8,19.2
39.4,7.4,14.6,4.6
2.6,7.0,2.8,8.6
12.0,11.2,20.0,2.8
7.2,6.0,11.8,8.6
4.8,10.8,2.6,2.4
4.2,3.4,3.2,4.0
8.2,4.2,2.6,3.8
2.0,21.4,14.8,13.0
3.8,14.6,11.8,2.0
9.8,3.6,14.4,2.2
7.6,18.2,9.8,3.8
5.4,10.4,22.2,8.8
4.8,3.4,6.8,2.0
3.2,3.0,10.0,2.4
44.6,10.8,37.0,2.0
20.0,13.4,4.0,9.4
3.0,9.6,2.6,2.2
2.4,13.2,5.2,11.8
15.8,9.2,7.4,2.8
7.6,10.0,12.2,2.0
7.2,16.6,2.2,8.8
6.4,18.8,4.2,7.8
4.4,26.6,22.2,4.0
6.4,15.8,15.8,5.8
3.4,6.2,39.8,3.0
24.4,6.4,4.6,3.4
4.2,5.6,2.8,6.2
24.4,22.2,4.0,12.6
2.6,2.8,4.6,4.4
17.0,33.0,2.8,3.0
2.4,62.8,9.4,10.0
2.2,9.6,3.0,5.6
39.6,4.8,5.4,20.0
150.0,5.2,21.0,31.6
2.6,4.2,8.6,2.0
31.8,3.2,23.6,24.4
2.8,3.6,53.0,6.4
3.0,12.2,16.8,20.4
10.8,14.2,2.0,2.4
6.8,3.8,7.8,3.4
4.0,6.2,2.2,9.4
2.4,5.2,5.4,35.0
5.2,17.4,9.6,8.4
12.2,8.6,2.6,3.4
2.0,16.4,22.8,4.2
3.4,3.0,2.0,11.4
3.8,18.8,3.2,2.8
5.0,3.0,4.6,4.6
16.4,6.4,2.6,9.4
7.2,12.0,4.2,3.8
4.6,8.6,6.0,2.6
8.4,53.0,4.2,3.0
7.0,9.2,2.6,5.0
2.4,30.4,25.8,4.6
27.8,64.8,8.8,9.0
113.4,3.0,8.2,2.0
15.0,23.0,3.0,4.8
4.0,35.2,17.6,4.4
11.4,29.8,12.6,2.8
2.4,3.0,6.6,63.6
2.0,7.4,13.4,5.6
5.0,17.4,9.2,8.0
6.8,21.6,2.2,12.6
16.0,3.4,7.2,39.4
14.2,24.4,6.0,3.2
9.2,4.8,14.2,2.2
7.8,56.4,10.6,11.8
4.4,14.0,11.6,7.8
3.4,33.8,6.6,8.0
13.8,3.8,4.4,2.8
10.6,5.2,5.6,2.2
4.4,51.2,13.6,2.8
9.2,15.4,3.8,9.2
2.4,76.6,38.2,10.2
2.0,3.6,2.8,3.6
4.6,3.4,3.0,18.6
8.2,6.4,3.6,3.4
2.4,10.2,10.4,11.4
2.8,9.2,2.6,2.0
3.8,9.2,17.4,6.4
4.2,13.0,10.8,2.4
4.4,5.0,30.2,3.2
9.4,7.6,3.4,7.2
2.0,4.2,6.0,3.6
23.0,3.8,14.8,3.8
2.4,4.8,4.6,7.4
6.6,8.8,2.8,14.0
4.6,3.2,10.0,2.8
11.2,48.8,8.2,3.2
5.4,12.8,2.8,8.4
25.2,70.0,10.0,27.2
2.0,7.2,6.6,25.8
29.8,4.0,6.4,2.4
6.6,14.0,2.4,7.8
8.4,6.6,10.4,2.8
4.4,5.2,3.6,30.2
48.0,15.8,3.6,3.4
32.2,20.2,2.8,3.4
4.4,56.6,5.6,3.0
5.2,2.0,6.4,11.4
9.2,5.0,12.8,4.6
9.2,2.0,6.2,7.4
4.4,2.2,4.0,8.2
4.2,55.2,5.0,3.8
56.0,15.6,2.2,5.4
4.4,3.0,6.4,2.4
4.0,20.0,2.8,2.6
4.6,6.4,3.4,5.0
20.6,30.0,4.4,5.4
12.2,3.4,4.8,7.6
7.4,2.8,3.8,3.6
78.2,4.6,17.4,3.2
12.8,10.0,8.8,9.4
18.2,3.0,57.4,2.0
4.6,10.2,11.8,14.0
19.6,27.6,7.0,2.4
56.2,19.4,12.4,2.4
71.4,3.2,4.4,6.0
10.0,13.2,5.2,4.4
10.6,3.8,2.6,4.0
12.0,2.2,13.6,5.6
3.0,55.8,4.8,5.2
30.2,8.4,2.0,3.6
69.6,4.2,8.6,4.4
3.4,45.2,5.8,7.8
9.2,6.0,13.6,4.8
5.4,5.8,8.6,3.0
4.2,7.4,5.4,3.2
2.2,3.2,17.6,3.4
17.2,3.4,9.4,2.2
5.0,25.2,7.8,4.6
28.0,7.8,5.4,2.2
28.4,2.0,13.2,3.6
5.0,8.4,7.0,6.0
25.2,7.2,39.0,2.2
16.8,23.0,5.8,2.4
2.6,13.4,8.4,3.6
31.8,50.0,5.6,27.0
2.2,2.0,2.6,5.6
27.6,2.2,9.6,12.0
6.0,17.4,3.6,8.0
25.0,25.6,5.2,2.0
72.4,22.4,18.0,33.0
2.6,3.2,36.2,3.0
11.4,3.0,13.2,11.4
12.8,15.4,2.4,2.6
11.8,12.0,15.8,11.0
9.0,4.6,34.0,2.2
2.6,35.6,7.8,6.8
3.4,6.0,10.6,5.6
2.6,4.2,7.0,5.2
14.6,129.6,7.0,2.8
13.2,17.6,4.2,46.2
10.2,12.2,5.2,3.0
5.2,27.2,7.4,2.6
4.4,25.2,18.0,6.6
8.8,60.0,5.4,3.2
99.2,145.8,10.0,3.6
7.0,29.8,5.2,23.2
18.0,54.2,8.0,2.0
30.6,30.4,9.6,9.6
15.0,6.4,11.6,3.6
104.4,29.8,5.4,10.4
17.6,13.8,5.8,3.8
7.8,13.4,19.8,6.6
23.0,27.2,6.2,2.2
39.6,4.4,72.2,5.8
2.6,48.6,2.6,3.0
11.6,3.6,4.6,3.0
95.0,4.4,8.8,15.2
2.0,16.0,2.6,5.2
13.2,17.4,9.8,5.4
38.4,7.8,9.6,9.0
13.8,2.8,2.2,4.2
4.0,4.8,11.0,2.2
10.4,4.0,4.4,5.4
3.4,6.2,8.2,27.8
17.0,6.2,5.6,5.4
22.8,21.2,17.6,11.0
2.8,33.6,11.2,14.8
26.8,8.8,3.2,9.2
2.2,4.4,2.6,4.2
9.8,2.2,16.2,2.4
4.8,4.0,2.0,8.8
14.2,25.4,26.0,7.0
21.0,18.0,2.2,6.6
9.4,30.6,12.2,2.6
30.8,22.0,5.2,14.8
19.4,2.8,2.8,39.4
2.0,11.2,4.4,2.0
3.2,5.4,20.6,3.0
6.0,35.8,6.8,14.0
4.2,9.8,23.8,4.6
3.8,14.0,35.8,3.0
30.8,3.8,2.8,8.0
4.4,3.0,7.8,4.0
43.6,8.2,2.0,4.6
57.2,6.6,17.6,10.8
23.6,3.0,15.0,6.6
5.2,6.0,4.2,6.0
5.2,2.2,12.2,13.0
36.4,10.8,4.2,3.6
3.6,32.4,20.8,3.6
6.0,8.0,2.0,9.8
12.2,3.6,11.0,3.0
26.8,18.2,2.2,6.0
4.0,73.8,4.4,4.8
52.2,12.2,2.0,10.2
7.8,3.4,2.2,5.0
17.4,2.2,6.0,7.4
3.4,10.8,3.2,3.4
2.6,47.4,3.0,15.2
55.4,19.6,6.0,2.6
16.8,60.0,2.8,4.6
55.2,33.0,6.6,4.6
35.4,6.4,2.8,4.0
18.0,31.4,4.6,8.6
31.4,32.2,3.0,11.4
2.0,4.6,16.8,2.6
5.4,11.2,6.8,4.6
22.6,45.8,32.4,4.4
2.6,8.2,3.6,5.4
30.6,16.6,5.6,3.2
18.8,18.0,6.6,2.6
4.0,3.0,2.8,19.0
28.6,40.8,5.8,4.0
39.6,3.6,5.4,2.4
13.0,7.2,4.4,13.6
25.0,6.0,62.2,15.2
23.4,41.8,8.0,26.8
7.0,26.6,19.0,4.0
71.4,12.2,10.6,5.2
44.2,32.8,7.2,2.4
28.4,43.0,5.8,2.4
3.6,23.0,28.6,3.8
6.2,11.6,7.6,4.0
8.8,2.8,7.0,7.0
8.0,2.2,5.6,5.8
5.0,3.6,6.0,8.0
7.4,19.6,6.6,3.0
8.8,64.4,6.8,2.4
43.2,2.2,2.0,8.6
2.2,54.8,14.2,10.2
16.6,8.0,9.8,3.8
2.4,17.8,2.2,15.6
2.4,4.8,3.0,4.6
37.4,8.8,44.6,9.0
69.2,3.6,18.0,25.4
6.8,19.2,5.2,2.6
4.0,3.8,4.8,20.6
8.2,3.2,62.6,5.0
37.8,2.0,2.4,4.4
5.0,4.0,27.2,4.6
14.6,9.8,19.2,2.8
5.8,2.4,3.8,13.8
10.0,5.4,7.0,10.0
7.6,2.2,6.0,5.0
7.4,9.8,13.0,5.2
30.2,28.0,26.4,6.0
30.8,6.0,11.4,5.6
3.8,4.6,119.0,4.2
19.6,4.6,24.6,12.2
2.0,4.8,20.0,2.2
5.6,8.6,8.2,4.6
11.8,4.2,2.0,7.6
3.8,7.8,29.4,5.6
18.2,4.6,28.0,3.8
42.0,5.0,5.6,3.0
36.8,15.8,20.2,3.0
4.0,5.4,7.2,6.0
5.8,3.0,8.0,2.8
56.4,3.6,6.4,2.0
56.0,19.4,7.2,8.0
35.6,2.4,2.8,11.8
2.0,4.0,3.2,18.6
2.4,38.6,2.8,4.0
9.6,8.0,7.2,2.0
26.8,4.6,35.6,5.2
11.0,4.0,10.4,58.2
3.0,9.0,8.6,3.4
61.0,2.2,8.4,2.0
4.2,2.8,59.8,4.8
21.8,2.8,2.8,3.8
19.4,8.0,12.8,2.2
43.0,13.8,4.8,12.4
5.0,37.8,4.2,6.0
11.6,29.8,11.4,5.8
6.2,6.6,4.8,4.6
4.0,25.2,18.8,6.2
6.2,19.0,3.2,2.4
14.2,4.6,8.6,2.8
9.0,5.4,19.4,2.2
23.8,3.4,5.4,20.4
35.2,45.6,5.4,14.0
2.0,15.4,3.6,7.8
18.4,3.6,6.2,4.2
14.4,7.2,10.4,19.0
22.2,65.8,6.8,15.0
3.4,2.6,3.6,9.4
4.6,8.8,15.6,19.4
20.2,4.2,28.2,4.0
5.2,9.8,3.0,5.6
5.2,18.2,14.4,2.8
14.0,38.2,7.0,3.0
5.6,3.0,6.0,3.2
3.0,73.4,3.0,6.4
14.6,2.6,24.0,27.6
2.2,3.4,5.8,10.2
5.6,15.0,4.2,6.6
4.6,6.8,2.8,2.8
6.4,5.2,5.8,3.6
20.2,43.2,5.0,11.0
28.6,2.0,4.0,7.6
4.2,3.8,3.4,12.6
10.4,2.0,3.6,28.4
20.6,11.6,7.6,33.6
2.8,3.0,2.4,7.6
7.4,17.4,13.6,9.6
6.0,12.2,38.6,3.8
5.2,27.4,2.8,11.2
5.2,4.6,4.4,7.2
4.2,7.8,9.8,3.6
3.6,21.4,12.0,8.0
3.4,3.0,27.0,5.6
6.6,4.0,13.6,7.4
2.4,29.2,4.4,4.0
12.6,2.8,2.4,8.2
3.2,15.8,11.4,9.2
22.2,36.4,39.4,6.6
3.6,13.6,7.2,13.6
14.2,3.0,27.0,7.8
2.2,2.8,12.2,6.0
51.4,2.2,2.2,9.8
5.0,24.2,19.2,2.6
30.2,16.4,4.8,2.4
4.2,7.6,4.8,8.6
97.4,5.2,12.4,2.0
12.0,5.4,2.0,10.6
7.4,13.6,11.6,2.8
4.4,2.2,4.8,2.0
6.8,61.2,8.2,3.4
4.8,10.0,18.0,2.6
5.6,18.6,39.2,2.2
63.6,4.6,4.2,5.4
23.2,4.8,47.6,11.6
3.8,26.0,2.0,5.6
21.8,21.0,4.4,3.0
8.6,40.8,13.6,20.8
11.2,56.2,5.8,5.2
3.6,11.6,44.0,2.2
3.6,73.2,19.8,4.2
35.4,79.6,21.6,3.2
17.0,9.6,4.0,2.0
4.4,6.6,3.2,14.6
2.2,4.4,3.0,3.0
2.2,4.2,2.2,9.2
2.4,10.2,3.2,5.6
3.2,23.0,5.8,2.4
4.4,8.4,8.4,5.8
6.4,2.0,15.8,3.0
2.4,5.4,5.0,6.0
9.0,22.2,22.4,12.2
15.2,3.4,5.6,5.4
7.4,2.0,46.0,3.6
11.2,7.6,3.0,5.6
2.8,38.0,5.0,4.4
2.4,8.0,11.0,5.4
4.4,7.2,7.0,13.8
8.6,13.0,2.8,2.6
5.8,2.0,34.8,14.4
12.2,5.4,18.4,2.4
3.8,7.0,11.2,3.6
4.8,4.0,2.8,45.0
5.8,24.2,43.2,4.8
15.6,60.2,47.4,9.4
2.2,17.6,6.2,28.8
2.6,24.4,21.0,5.4
9.8,4.8,22.6,5.8
2.4,4.8,14.2,2.6
2.8,2.6,2.4,3.4
129.8,51.6,74.0,27.0
6.4,18.2,6.2,16.8
22.6,45.8,3.2,3.0
21.0,17.4,2.6,6.8
2.8,8.4,4.6,4.4
3.6,20.2,9.0,10.2
3.8,3.2,6.8,11.4
7.4,11.4,11.4,3.8
19.8,16.6,4.6,3.8
44.6,4.8,12.8,6.4
2.8,4.2,13.4,10.0
2.0,4.6,14.0,2.6
8.2,5.6,2.0,4.6
65.6,15.8,22.4,2.4
11.8,9.4,2.6,5.0
4.8,16.6,4.6,3.6
32.6,33.8,18.8,12.6
3.2,2.0,2.4,5.6
5.2,7.6,10.6,75.6
6.6,4.4,21.8,2.0
4.4,2.4,62.2,12.2
7.4,8.0,4.2,11.6
3.8,4.0,12.2,3.4
5.4,14.6,3.8,11.4
16.4,2.0,5.8,5.8
10.6,29.8,5.4,11.0
18.2,6.2,2.0,12.6
8.0,5.8,4.4,2.8
3.4,4.6,6.6,29.8
4.8,5.2,3.6,6.2
12.6,5.2,8.0,10.4
3.2,6.0,22.6,4.6
9.4,11.6,12.2,5.4
15.2,26.0,7.0,2.2
2.2,3.2,3.0,4.4
8.0,10.4,15.8,28.4
10.2,2.2,2.6,3.8
8.2,30.2,8.2,21.0
5.8,5.6,4.8,15.2
12.2,4.8,2.8,3.4
56.0,8.6,3.0,7.8
103.6,6.2,3.6,2.6
45.4,13.0,14.8,2.8
56.4,20.8,34.0,3.8
26.6,5.2,73.8,6.4
3.4,5.8,11.0,2.4
35.4,8.0,46.8,3.2
73.0,3.2,4.8,2.2
5.2,2.0,13.2,3.0
8.0,2.8,6.4,11.6
8.8,3.8,4.6,32.0
7.4,5.4,7.4,5.2
16.2,7.6,13.6,3.6
5.8,2.6,6.4,3.4
5.2,55.4,5.6,7.2
7.6,13.4,2.6,33.0
4.8,6.6,14.0,9.4
2.4,4.8,12.4,49.6
7.0,71.8,6.8,23.6
11.4,20.0,7.4,15.6
16.4,14.4,13.4,3.8
10.0,9.4,3.0,12.2
13.0,9.0,3.4,12.6
2.4,26.4,20.6,9.0
3.4,24.2,10.0,2.6
23.6,3.2,49.4,59.4
14.0,2.2,49.8,2.0
16.8,18.0,37.8,70.2
3.6,2.0,5.6,14.2
3.8,2.8,64.6,11.6
4.2,6.8,20.2,3.0
4.4,16.8,10.6,6.2
3.8,3.0,9.0,2.2
32.6,2.4,3.0,11.4
21.2,3.0,2.6,12.0
6.2,15.2,3.6,26.6
4.8,6.8,16.2,2.8
6.4,21.0,12.8,6.4
3.4,13.4,7.8,22.0
5.6,53.4,8.8,5.6
9.0,12.2,18.2,2.4
3.6,13.4,12.8,5.8
16.2,2.0,4.2,3.0
3.6,8.8,5.0,2.4
2.8,6.0,4.4,5.8
9.0,4.6,39.6,8.6
3.6,7.4,5.4,7.0
23.0,9.4,6.0,12.0
2.6,11.8,15.0,2.2
31.8,5.8,2.6,8.8
4.8,11.0,9.6,3.0
2.8,17.0,9.6,6.2
5.0,10.0,6.0,8.2
7.8,22.6,5.0,2.6
2.8,3.8,3.2,2.4
2.2,2.0,4.2,4.8
3.8,4.2,2.8,5.2
6.0,12.4,8.4,4.2
18.0,3.6,25.8,15.8
9.4,3.8,17.2,4.2
6.0,11.6,60.0,12.4
4.2,13.4,19.8,5.8
4.0,34.4,3.0,4.6
4.4,10.8,2.8,7.2
3.2,17.2,2.8,2.2
2.8,3.6,7.6,5.2
17.4,4.4,8.4,16.8
13.6,12.2,6.8,6.6
10.4,13.4,19.8,7.4
3.8,3.6,17.8,66.8
2.2,2.2,9.4,72.8
3.2,15.8,2.2,2.6
4.2,3.8,3.0,3.0
9.6,3.8,12.8,5.2
2.4,11.8,44.8,7.2
2.4,25.4,6.6,6.2
3.8,5.6,2.4,20.2
5.8,6.4,13.8,9.8
22.0,4.2,9.4,2.8
8.0,14.0,11.6,2.8
5.8,6.0,3.2,6.6
28.8,3.0,2.8,2.6
70.6,10.8,3.8,4.8
4.2,27.2,16.4,2.6
22.8,13.8,13.0,8.2
2.4,5.8,7.4,22.2
2.2,7.4,14.0,9.6
3.2,2.0,7.4,27.0
8.0,69.0,4.8,21.4
30.6,14.2,11.6,2.6
7.2,2.0,38.8,4.4
2.4,13.8,3.8,4.0
27.2,3.0,18.2,3.2
4.8,20.4,28.8,3.4
30.4,18.2,4.4,35.2
37.0,15.0,8.8,5.8
11.6,17.0,6.6,12.0
2.2,2.8,4.4,4.8
4.2,6.0,66.4,3.6
11.0,9.0,24.2,4.2
57.4,5.0,33.8,5.2
4.0,7.0,17.6,27.8
3.0,6.0,9.6,15.6
6.4,3.0,5.4,3.4
28.6,15.6,2.4,4.6
8.0,30.0,10.0,4.4
11.8,37.8,24.8,2.8
4.2,14.4,4.6,34.2
8.0,21.8,50.6,3.4
10.6,7.0,2.2,22.6
5.8,12.2,20.0,3.2
9.6,5.6,66.6,17.4
2.6,9.6,16.2,3.0
4.4,10.8,14.4,2.8
2.6,7.0,3.0,4.4
6.4,4.4,16.4,5.8
5.8,31.4,7.4,12.0
5.6,2.8,3.4,32.0
3.4,2.4,6.2,2.6
19.8,2.4,3.2,13.8
17.8,8.8,7.0,4.8
11.8,6.6,8.4,2.0
10.0,19.2,7.2,58.4
2.2,3.4,3.8,4.2
2.0,10.8,19.0,2.8
8.4,29.8,2.0,15.8
31.0,14.4,13.4,4.8
5.0,5.8,39.8,2.2
29.6,12.2,4.0,7.4
3.2,3.6,18.4,2.8
23.0,12.0,9.8,5.0
3.4,3.8,10.2,3.0
2.6,12.8,6.0,9.4
7.6,9.2,13.4,10.6
51.4,6.2,27.4,5.8
2.4,7.4,43.0,6.0
30.0,43.4,38.2,2.6
12.2,2.4,10.2,2.8
10.0,2.4,3.0,13.6
8.8,20.0,19.4,13.2
24.0,6.4,16.6,2.4
2.2,16.0,30.0,2.8
6.2,5.2,22.0,9.0
61.6,11.2,4.6,2.8
15.8,32.6,6.6,21.2
3.8,6.4,7.2,4.4
33.4,5.0,5.4,32.8
4.6,21.6,17.6,26.4
8.8,32.6,7.4,5.4
14.2,28.0,6.6,16.4
4.6,37.2,11.6,2.8
19.4,16.4,9.4,6.8
56.8,3.4,59.8,4.6
3.2,4.8,5.8,4.4
4.2,7.8,11.6,4.0
4.0,2.2,19.6,2.6
22.8,2.2,6.8,3.2
6.8,10.2,29.6,4.0
6.4,11.0,4.0,32.6
9.0,13.4,6.4,10.4
71.4,15.8,5.2,2.6
58.8,5.8,5.8,6.8
21.0,3.0,19.8,5.6
14.6,6.6,19.4,34.0
2.8,133.6,7.2,10.2
17.8,7.4,8.2,3.0
2.2,53.6,10.2,9.0
7.8,53.4,43.4,26.4
15.8,3.8,4.4,9.0
102.2,9.2,11.6,26.8
2.8,16.4,17.8,24.6
3.6,11.8,2.6,12.8
4.2,30.0,5.4,8.0
102.0,13.2,5.6,31.4
3.6,3.6,2.4,36.2
6.8,39.2,2.8,6.4
5.8,2.0,7.6,4.6
48.4,5.6,3.2,9.4
6.4,10.0,3.6,7.6
4.4,14.2,15.2,2.0
10.0,54.0,18.6,6.8
3.2,46.0,4.8,5.2
40.0,24.8,26.2,82.8
12.8,57.4,5.0,12.2
3.0,51.8,5.2,22.2
10.6,4.2,4.8,4.8
29.4,17.8,7.4,2.4
7.2,2.4,7.2,3.0
2.2,6.4,17.8,19.2
8.0,11.0,14.4,4.6
11.2,5.2,9.2,3.0
3.4,5.4,4.2,2.8
90.6,2.4,2.6,4.8
14.0,8.6,6.6,2.4
7.2,6.6,2.6,20.8
9.6,10.0,6.4,3.6
22.2,7.2,7.0,7.2
5.2,29.0,6.0,72.0
19.6,3.0,18.0,19.8
2.6,19.0,16.4,8.6
2.8,2.4,7.2,3.4
23.0,7.6,59.0,18.2
55.6,5.4,2.8,29.0
10.6,20.4,24.8,12.0
24.2,2.4,7.0,3.6
10.2,12.4,3.6,2.6
5.8,6.2,45.6,2.4
2.0,7.2,37.2,2.2
11.8,75.6,6.8,15.2
2.0,3.8,31.8,11.4
31.0,12.0,13.8,2.0
2.2,5.2,37.4,4.4
20.8,10.8,2.0,3.2
11.6,28.2,5.6,8.8
32.8,13.4,10.0,4.4
5.6,17.8,7.4,3.6
7.2,29.4,3.8,11.4
27.6,11.4,4.8,76.4
7.8,3.4,5.8,13.8
11.4,19.0,36.6,7.0
24.6,15.4,17.2,5.4
76.4,67.6,21.4,4.4
6.2,72.8,16.4,4.4
7.4,3.4,2.8,25.6
15.6,4.0,5.0,7.6
9.4,6.6,10.0,5.4
8.0,8.0,28.6,4.4
3.4,18.6,2.0,10.6
57.6,3.8,4.4,24.6
2.2,4.0,4.2,3.0
61.2,144.6,4.4,9.0
3.6,3.4,5.8,2.2
58.6,4.4,6.6,3.8
5.6,36.6,2.2,23.8
70.8,14.0,11.4,10.4
8.8,8.6,6.0,5.0
10.6,49.2,2.2,13.4
2.8,37.2,5.4,48.6
15.0,4.8,5.8,2.6
4.0,11.0,2.4,10.6
5.0,12.8,3.6,24.8
4.2,12.2,3.6,9.2
3.4,15.8,27.4,3.6
2.0,9.8,6.2,13.8
8.6,4.4,30.6,8.8
3.8,32.4,16.8,10.0
3.8,11.2,13.2,2.4
