molecule,FRET_before,FRET_after,Time,number_of_frames,treatment,repeat,transition_type,shift,is_in_sequence,CumulativeTime,CumulativeTime(s),transition_name
243_01_Native_1.0,0.622164,0.485481,114,507,01_Native,1.0,high-low,low-high,False,114,22.8,$T_{high-low}$
256_01_Native_1.0,0.450803,0.617282,5,313,01_Native,1.0,low-high,,False,5,1.0,$T_{low-high}$
256_01_Native_1.0,0.617282,0.450803,76,313,01_Native,1.0,high-low,high-high,False,168,33.6,$T_{high-low}$
256_01_Native_1.0,0.450803,0.617282,48,313,01_Native,1.0,low-high,high-low,False,48,9.6,$T_{low-high}$
298_01_Native_1.0,0.775803,0.499252,148,177,01_Native,1.0,high-low,,False,148,29.6,$T_{high-low}$
317_01_Native_1.0,0.479708,0.604763,68,393,01_Native,1.0,low-high,,False,68,13.6,$T_{low-high}$
317_01_Native_1.0,0.604763,0.479708,324,393,01_Native,1.0,high-low,low-high,False,324,64.8,$T_{high-low}$
325_01_Native_1.0,0.565138,0.462449,597,605,01_Native,1.0,high-low,,False,597,119.4,$T_{high-low}$
335_01_Native_1.0,0.575662,0.474088,76,677,01_Native,1.0,high-low,high-high,False,76,15.2,$T_{high-low}$
335_01_Native_1.0,0.474088,0.575662,35,677,01_Native,1.0,low-high,high-low,False,35,7.0,$T_{low-high}$
335_01_Native_1.0,0.575662,0.474088,528,677,01_Native,1.0,high-low,low-high,False,528,105.6,$T_{high-low}$
338_01_Native_1.0,0.408972,0.590462,4,300,01_Native,1.0,low-high,,False,4,0.8,$T_{low-high}$
338_01_Native_1.0,0.590462,0.408972,243,300,01_Native,1.0,high-low,low-high,False,243,48.6,$T_{high-low}$
338_01_Native_1.0,0.408972,0.590462,11,300,01_Native,1.0,low-high,high-low,False,11,2.2,$T_{low-high}$
001_02_Misfolded_1.0,0.657089,0.356639,23,167,02_Misfolded,1.0,high-low,,False,23,4.6000000000000005,$T_{high-low}$
