Molecule,FRET_before,FRET_after,Time,number_of_frames,treatment_name,repeat,transition_type,shift,is_in_sequence,CumulativeTime,CumulativeTime(s)
064_01_Native_1.0,0.706275,0.755588,2,260,01_Native,1.0,high-high,high-high,True,0,0.0
067_01_Native_1.0,0.57364,0.822416,43,174,01_Native,1.0,high-high,,True,0,0.0
067_01_Native_1.0,0.822416,0.57364,9,174,01_Native,1.0,high-high,high-high,True,0,0.0
067_01_Native_1.0,0.57364,0.822416,110,174,01_Native,1.0,high-high,high-high,True,0,0.0
068_01_Native_1.0,0.455859,0.377825,379,604,01_Native,1.0,low-low,,True,0,0.0
068_01_Native_1.0,0.377825,0.455859,182,604,01_Native,1.0,low-low,low-low,True,0,0.0
068_01_Native_1.0,0.455859,0.377825,17,604,01_Native,1.0,low-low,low-low,True,0,0.0
071_01_Native_1.0,0.697775,0.606283,194,335,01_Native,1.0,high-high,,True,0,0.0
071_01_Native_1.0,0.606283,0.697775,9,335,01_Native,1.0,high-high,high-high,True,0,0.0
071_01_Native_1.0,0.697775,0.606283,34,335,01_Native,1.0,high-high,high-high,True,0,0.0
071_01_Native_1.0,0.606283,0.697775,49,335,01_Native,1.0,high-high,high-high,True,0,0.0
071_01_Native_1.0,0.697775,0.606283,20,335,01_Native,1.0,high-high,high-high,True,0,0.0
072_01_Native_1.0,0.568876,0.471405,214,520,01_Native,1.0,high-low,,False,214,42.800000000000004
072_01_Native_1.0,0.471405,0.568876,176,520,01_Native,1.0,low-high,high-low,False,176,35.2
072_01_Native_1.0,0.568876,0.471405,18,520,01_Native,1.0,high-low,low-high,False,18,3.6
073_01_Native_1.0,0.741798,0.614054,48,548,01_Native,1.0,high-high,,True,0,0.0
073_01_Native_1.0,0.614054,0.741798,24,548,01_Native,1.0,high-high,high-high,True,0,0.0
073_01_Native_1.0,0.741798,0.614054,30,548,01_Native,1.0,high-high,high-high,True,0,0.0
073_01_Native_1.0,0.614054,0.741798,86,548,01_Native,1.0,high-high,high-high,True,0,0.0
073_01_Native_1.0,0.741798,0.614054,72,548,01_Native,1.0,high-high,high-high,True,0,0.0
073_01_Native_1.0,0.614054,0.741798,25,548,01_Native,1.0,high-high,high-high,True,0,0.0
073_01_Native_1.0,0.741798,0.614054,20,548,01_Native,1.0,high-high,high-high,True,0,0.0
074_01_Native_1.0,0.668843,0.876745,4,316,01_Native,1.0,high-high,,True,0,0.0
074_01_Native_1.0,0.876745,0.668843,32,316,01_Native,1.0,high-high,high-high,True,0,0.0
074_01_Native_1.0,0.668843,0.876745,51,316,01_Native,1.0,high-high,high-high,True,0,0.0
074_01_Native_1.0,0.876745,0.668843,27,316,01_Native,1.0,high-high,high-high,True,0,0.0
074_01_Native_1.0,0.668843,0.876745,105,316,01_Native,1.0,high-high,high-high,True,0,0.0
074_01_Native_1.0,0.876745,0.668843,3,316,01_Native,1.0,high-high,high-high,True,0,0.0
074_01_Native_1.0,0.668843,0.876745,2,316,01_Native,1.0,high-high,high-high,True,0,0.0
074_01_Native_1.0,0.876745,0.668843,84,316,01_Native,1.0,high-high,high-high,True,0,0.0
074_01_Native_1.0,0.668843,0.876745,1,316,01_Native,1.0,high-high,high-high,True,0,0.0
078_01_Native_1.0,0.616337,0.416302,205,374,01_Native,1.0,high-low,,False,205,41.0
078_01_Native_1.0,0.416302,0.616337,26,374,01_Native,1.0,low-high,high-low,False,26,5.2
079_01_Native_1.0,0.831895,0.719989,176,296,01_Native,1.0,high-high,,True,0,0.0
079_01_Native_1.0,0.719989,0.831895,32,296,01_Native,1.0,high-high,high-high,True,0,0.0
079_01_Native_1.0,0.831895,0.719989,19,296,01_Native,1.0,high-high,high-high,True,0,0.0
079_01_Native_1.0,0.719989,0.831895,43,296,01_Native,1.0,high-high,high-high,True,0,0.0
081_01_Native_1.0,0.722407,0.845118,465,478,01_Native,1.0,high-high,,False,0,0.0
082_01_Native_1.0,0.59669,0.82339,307,413,01_Native,1.0,high-high,,True,0,0.0
082_01_Native_1.0,0.82339,0.59669,9,413,01_Native,1.0,high-high,high-high,True,0,0.0
082_01_Native_1.0,0.59669,0.82339,6,413,01_Native,1.0,high-high,high-high,True,0,0.0
083_01_Native_1.0,0.832061,0.629268,131,391,01_Native,1.0,high-high,,True,0,0.0
083_01_Native_1.0,0.629268,0.832061,16,391,01_Native,1.0,high-high,high-high,True,0,0.0
083_01_Native_1.0,0.832061,0.629268,35,391,01_Native,1.0,high-high,high-high,True,0,0.0
083_01_Native_1.0,0.629268,0.832061,4,391,01_Native,1.0,high-high,high-high,True,0,0.0
083_01_Native_1.0,0.832061,0.629268,9,391,01_Native,1.0,high-high,high-high,True,0,0.0
084_01_Native_1.0,0.65396,0.580728,111,648,01_Native,1.0,high-high,,True,0,0.0
084_01_Native_1.0,0.580728,0.65396,28,648,01_Native,1.0,high-high,high-high,True,0,0.0
084_01_Native_1.0,0.65396,0.580728,265,648,01_Native,1.0,high-high,high-high,True,0,0.0
084_01_Native_1.0,0.580728,0.65396,3,648,01_Native,1.0,high-high,high-high,True,0,0.0
084_01_Native_1.0,0.65396,0.580728,142,648,01_Native,1.0,high-high,high-high,True,0,0.0
084_01_Native_1.0,0.580728,0.65396,23,648,01_Native,1.0,high-high,high-high,True,0,0.0
084_01_Native_1.0,0.65396,0.580728,62,648,01_Native,1.0,high-high,high-high,True,0,0.0
085_01_Native_1.0,0.734446,0.665018,131,530,01_Native,1.0,high-high,,True,0,0.0
085_01_Native_1.0,0.665018,0.734446,15,530,01_Native,1.0,high-high,high-high,True,0,0.0
085_01_Native_1.0,0.734446,0.665018,73,530,01_Native,1.0,high-high,high-high,True,0,0.0
085_01_Native_1.0,0.665018,0.734446,24,530,01_Native,1.0,high-high,high-high,True,0,0.0
085_01_Native_1.0,0.734446,0.665018,106,530,01_Native,1.0,high-high,high-high,True,0,0.0
085_01_Native_1.0,0.665018,0.734446,61,530,01_Native,1.0,high-high,high-high,True,0,0.0
085_01_Native_1.0,0.734446,0.665018,103,530,01_Native,1.0,high-high,high-high,True,0,0.0
086_01_Native_1.0,0.721035,0.719404,663,673,01_Native,1.0,high-high,,True,0,0.0
086_01_Native_1.0,0.719404,0.721035,2,673,01_Native,1.0,high-high,high-high,True,0,0.0
087_01_Native_1.0,0.613878,0.522902,55,596,01_Native,1.0,high-high,,True,0,0.0
087_01_Native_1.0,0.522902,0.792881,12,596,01_Native,1.0,high-high,high-high,True,0,0.0
087_01_Native_1.0,0.792881,0.522902,30,596,01_Native,1.0,high-high,high-high,True,0,0.0
087_01_Native_1.0,0.522902,0.613878,33,596,01_Native,1.0,high-high,high-high,True,0,0.0
087_01_Native_1.0,0.613878,0.792881,45,596,01_Native,1.0,high-high,high-high,True,0,0.0
087_01_Native_1.0,0.792881,0.522902,10,596,01_Native,1.0,high-high,high-high,True,0,0.0
087_01_Native_1.0,0.522902,0.613878,15,596,01_Native,1.0,high-high,high-high,True,0,0.0
087_01_Native_1.0,0.613878,0.522902,141,596,01_Native,1.0,high-high,high-high,True,0,0.0
087_01_Native_1.0,0.522902,0.613878,16,596,01_Native,1.0,high-high,high-high,True,0,0.0
087_01_Native_1.0,0.613878,0.792881,54,596,01_Native,1.0,high-high,high-high,True,0,0.0
087_01_Native_1.0,0.792881,0.522902,6,596,01_Native,1.0,high-high,high-high,True,0,0.0
087_01_Native_1.0,0.522902,0.613878,12,596,01_Native,1.0,high-high,high-high,True,0,0.0
087_01_Native_1.0,0.613878,0.792881,21,596,01_Native,1.0,high-high,high-high,True,0,0.0
087_01_Native_1.0,0.792881,0.613878,71,596,01_Native,1.0,high-high,high-high,True,0,0.0
087_01_Native_1.0,0.613878,0.792881,52,596,01_Native,1.0,high-high,high-high,True,0,0.0
089_01_Native_1.0,0.676406,0.605717,110,362,01_Native,1.0,high-high,,True,0,0.0
089_01_Native_1.0,0.605717,0.676406,39,362,01_Native,1.0,high-high,high-high,True,0,0.0
089_01_Native_1.0,0.676406,0.605717,204,362,01_Native,1.0,high-high,high-high,True,0,0.0
090_01_Native_1.0,0.709018,0.634134,173,684,01_Native,1.0,high-high,,True,0,0.0
090_01_Native_1.0,0.634134,0.709018,12,684,01_Native,1.0,high-high,high-high,True,0,0.0
090_01_Native_1.0,0.709018,0.634134,20,684,01_Native,1.0,high-high,high-high,True,0,0.0
090_01_Native_1.0,0.634134,0.709018,433,684,01_Native,1.0,high-high,high-high,True,0,0.0
091_01_Native_1.0,0.635114,0.530596,17,332,01_Native,1.0,high-high,,True,0,0.0
091_01_Native_1.0,0.530596,0.635114,36,332,01_Native,1.0,high-high,high-high,True,0,0.0
091_01_Native_1.0,0.635114,0.530596,278,332,01_Native,1.0,high-high,high-high,True,0,0.0
092_01_Native_1.0,0.751266,0.69307,323,335,01_Native,1.0,high-high,,True,0,0.0
092_01_Native_1.0,0.69307,0.751266,3,335,01_Native,1.0,high-high,high-high,True,0,0.0
094_01_Native_1.0,0.695311,0.601084,216,583,01_Native,1.0,high-high,,True,0,0.0
094_01_Native_1.0,0.601084,0.695311,3,583,01_Native,1.0,high-high,high-high,True,0,0.0
094_01_Native_1.0,0.695311,0.601084,298,583,01_Native,1.0,high-high,high-high,True,0,0.0
096_01_Native_1.0,0.687979,0.57701,218,580,01_Native,1.0,high-high,,True,0,0.0
096_01_Native_1.0,0.57701,0.687979,26,580,01_Native,1.0,high-high,high-high,True,0,0.0
096_01_Native_1.0,0.687979,0.57701,77,580,01_Native,1.0,high-high,high-high,True,0,0.0
097_01_Native_1.0,0.949596,0.84317,134,548,01_Native,1.0,high-high,,True,0,0.0
097_01_Native_1.0,0.84317,0.720446,116,548,01_Native,1.0,high-high,high-high,True,0,0.0
097_01_Native_1.0,0.720446,0.84317,6,548,01_Native,1.0,high-high,high-high,True,0,0.0
097_01_Native_1.0,0.84317,0.720446,220,548,01_Native,1.0,high-high,high-high,True,0,0.0
097_01_Native_1.0,0.720446,0.84317,38,548,01_Native,1.0,high-high,high-high,True,0,0.0
097_01_Native_1.0,0.84317,0.949596,12,548,01_Native,1.0,high-high,high-high,True,0,0.0
097_01_Native_1.0,0.949596,0.720446,12,548,01_Native,1.0,high-high,high-high,True,0,0.0
097_01_Native_1.0,0.720446,0.949596,2,548,01_Native,1.0,high-high,high-high,True,0,0.0
098_01_Native_1.0,0.687796,0.794923,8,501,01_Native,1.0,high-high,,True,0,0.0
098_01_Native_1.0,0.794923,0.687796,142,501,01_Native,1.0,high-high,high-high,True,0,0.0
098_01_Native_1.0,0.687796,0.470718,40,501,01_Native,1.0,high-low,high-high,False,150,30.0
098_01_Native_1.0,0.470718,0.794923,19,501,01_Native,1.0,low-high,high-low,False,19,3.8000000000000003
098_01_Native_1.0,0.794923,0.687796,74,501,01_Native,1.0,high-high,low-high,True,0,0.0
098_01_Native_1.0,0.687796,0.794923,18,501,01_Native,1.0,high-high,high-high,True,0,0.0
098_01_Native_1.0,0.794923,0.687796,16,501,01_Native,1.0,high-high,high-high,True,0,0.0
098_01_Native_1.0,0.687796,0.470718,22,501,01_Native,1.0,high-low,high-high,False,108,21.6
098_01_Native_1.0,0.470718,0.794923,39,501,01_Native,1.0,low-high,high-low,False,39,7.800000000000001
098_01_Native_1.0,0.794923,0.687796,62,501,01_Native,1.0,high-high,low-high,True,0,0.0
098_01_Native_1.0,0.687796,0.794923,16,501,01_Native,1.0,high-high,high-high,True,0,0.0
099_01_Native_1.0,0.661103,0.770625,37,616,01_Native,1.0,high-high,,True,0,0.0
099_01_Native_1.0,0.770625,0.661103,350,616,01_Native,1.0,high-high,high-high,True,0,0.0
099_01_Native_1.0,0.661103,0.770625,12,616,01_Native,1.0,high-high,high-high,True,0,0.0
099_01_Native_1.0,0.770625,0.661103,20,616,01_Native,1.0,high-high,high-high,True,0,0.0
099_01_Native_1.0,0.661103,0.770625,14,616,01_Native,1.0,high-high,high-high,True,0,0.0
100_01_Native_1.0,0.850632,0.954463,48,655,01_Native,1.0,high-high,,True,0,0.0
100_01_Native_1.0,0.954463,0.850632,44,655,01_Native,1.0,high-high,high-high,True,0,0.0
100_01_Native_1.0,0.850632,0.954463,5,655,01_Native,1.0,high-high,high-high,True,0,0.0
100_01_Native_1.0,0.954463,0.850632,350,655,01_Native,1.0,high-high,high-high,True,0,0.0
100_01_Native_1.0,0.850632,0.615408,46,655,01_Native,1.0,high-high,high-high,True,0,0.0
100_01_Native_1.0,0.615408,0.850632,38,655,01_Native,1.0,high-high,high-high,True,0,0.0
100_01_Native_1.0,0.850632,0.954463,70,655,01_Native,1.0,high-high,high-high,True,0,0.0
101_01_Native_1.0,0.85572,0.749123,245,525,01_Native,1.0,high-high,,True,0,0.0
101_01_Native_1.0,0.749123,0.85572,22,525,01_Native,1.0,high-high,high-high,True,0,0.0
101_01_Native_1.0,0.85572,0.749123,172,525,01_Native,1.0,high-high,high-high,True,0,0.0
102_01_Native_1.0,0.828838,0.606714,52,203,01_Native,1.0,high-high,,False,0,0.0
104_01_Native_1.0,0.791797,0.549822,319,504,01_Native,1.0,high-high,,False,0,0.0
106_01_Native_1.0,0.708285,0.558506,152,621,01_Native,1.0,high-high,,False,0,0.0
106_01_Native_1.0,0.558506,0.435745,79,621,01_Native,1.0,high-low,high-high,False,79,15.8
106_01_Native_1.0,0.435745,0.558506,171,621,01_Native,1.0,low-high,high-low,False,171,34.2
106_01_Native_1.0,0.558506,0.435745,22,621,01_Native,1.0,high-low,low-high,False,22,4.4
107_01_Native_1.0,0.889392,0.808257,152,474,01_Native,1.0,high-high,,True,0,0.0
107_01_Native_1.0,0.808257,0.889392,273,474,01_Native,1.0,high-high,high-high,True,0,0.0
107_01_Native_1.0,0.889392,0.808257,32,474,01_Native,1.0,high-high,high-high,True,0,0.0
109_01_Native_1.0,0.608883,0.692201,20,776,01_Native,1.0,high-high,,True,0,0.0
109_01_Native_1.0,0.692201,0.608883,220,776,01_Native,1.0,high-high,high-high,True,0,0.0
110_01_Native_1.0,0.622447,0.712573,33,868,01_Native,1.0,high-high,,True,0,0.0
110_01_Native_1.0,0.712573,0.794469,166,868,01_Native,1.0,high-high,high-high,True,0,0.0
110_01_Native_1.0,0.794469,0.712573,21,868,01_Native,1.0,high-high,high-high,True,0,0.0
110_01_Native_1.0,0.712573,0.622447,58,868,01_Native,1.0,high-high,high-high,True,0,0.0
110_01_Native_1.0,0.622447,0.712573,27,868,01_Native,1.0,high-high,high-high,True,0,0.0
110_01_Native_1.0,0.712573,0.622447,33,868,01_Native,1.0,high-high,high-high,True,0,0.0
110_01_Native_1.0,0.622447,0.712573,4,868,01_Native,1.0,high-high,high-high,True,0,0.0
110_01_Native_1.0,0.712573,0.622447,51,868,01_Native,1.0,high-high,high-high,True,0,0.0
110_01_Native_1.0,0.622447,0.712573,123,868,01_Native,1.0,high-high,high-high,True,0,0.0
110_01_Native_1.0,0.712573,0.794469,18,868,01_Native,1.0,high-high,high-high,True,0,0.0
110_01_Native_1.0,0.794469,0.622447,4,868,01_Native,1.0,high-high,high-high,True,0,0.0
110_01_Native_1.0,0.622447,0.712573,27,868,01_Native,1.0,high-high,high-high,True,0,0.0
110_01_Native_1.0,0.712573,0.794469,12,868,01_Native,1.0,high-high,high-high,True,0,0.0
110_01_Native_1.0,0.794469,0.712573,26,868,01_Native,1.0,high-high,high-high,True,0,0.0
110_01_Native_1.0,0.712573,0.622447,16,868,01_Native,1.0,high-high,high-high,True,0,0.0
110_01_Native_1.0,0.622447,0.712573,6,868,01_Native,1.0,high-high,high-high,True,0,0.0
110_01_Native_1.0,0.712573,0.622447,25,868,01_Native,1.0,high-high,high-high,True,0,0.0
110_01_Native_1.0,0.622447,0.712573,68,868,01_Native,1.0,high-high,high-high,True,0,0.0
110_01_Native_1.0,0.712573,0.794469,42,868,01_Native,1.0,high-high,high-high,True,0,0.0
