treatment,mean_bind_and_release,sem,n
01_Native,1.173476050850142,0.13264546437530958,27
02_Misfolded,1.6032487231962573,0.38092352289266707,10
03_A8A2,0.9761507211309268,0.10478812680262871,66
04_A8B1,1.2396752460447065,0.09008808113763794,69
