frames,donor,acceptor,FRET,idealized FRET,molecule_number,treatment_name,repeat,unique_id,dwell_steady_state,dwell,frame_length,transition_point,transition_dwell,FRET_before,FRET_after,consec
1057,8593.068,2621.848,0.233782,0.52234,84,03_A8A2,2.0,084_03_A8A2_2.0,4,54,1110,True,273.0,-0.010903,0.52234,False
622,858.159,8563.167,0.908913,0.870109,85,03_A8A2,1.0,085_03_A8A2_1.0,11,27,1295,True,124.0,0.068443,0.870109,False
650,2320.59,7583.298,0.765689,0.82082,85,03_A8A2,2.0,085_03_A8A2_2.0,4,7,855,True,472.0,0.080615,0.82082,False
1485,4254.607,6822.105,0.615896,0.555358,87,03_A8A2,1.0,087_03_A8A2_1.0,2,11,1495,True,1484.0,0.063713,0.555358,False
576,3164.938,7481.993,0.702737,0.647365,88,03_A8A2,2.0,088_03_A8A2_2.0,7,11,675,True,150.0,0.450892,0.647365,False
399,9260.323,3454.308,0.27168,0.511969,89,03_A8A2,1.0,089_03_A8A2_1.0,3,12,1045,True,384.0,0.048234,0.511969,False
1029,8461.487,2076.867,0.197077,0.511969,89,03_A8A2,1.0,089_03_A8A2_1.0,7,17,1045,True,613.0,0.048234,0.511969,False
675,2760.406,13006.809,0.824927,0.847055,90,03_A8A2,1.0,090_03_A8A2_1.0,2,6,680,True,674.0,0.076925,0.847055,False
219,6468.797,2676.9,0.292695,0.515995,93,03_A8A2,2.0,093_03_A8A2_2.0,2,31,350,True,218.0,0.012681,0.515995,False
1450,9338.583,5626.202,0.375963,0.535538,95,03_A8A2,2.0,095_03_A8A2_2.0,8,36,1560,True,580.0,0.062454,0.535538,False
784,10574.277,5132.02,0.326749,0.664654,97,03_A8A2,1.0,097_03_A8A2_1.0,2,2,785,True,783.0,0.009358,0.664654,False
1036,2641.459,8017.294,0.752179,0.857998,98,03_A8A2,2.0,098_03_A8A2_2.0,2,24,1060,True,1035.0,0.069806,0.857998,False
1699,3159.721,4355.402,0.579552,0.555722,99,03_A8A2,1.0,099_03_A8A2_1.0,2,7,1705,True,1698.0,0.000182,0.555722,False
809,598.252,33309.163,0.982356,0.983747,99,03_A8A2,2.0,099_03_A8A2_2.0,2,25,835,True,808.0,0.09721,0.983747,False
91,4040.601,14254.061,0.779138,0.743233,100,03_A8A2,1.0,100_03_A8A2_1.0,2,5,95,True,90.0,0.074417,0.743233,False
87,4044.439,7265.927,0.642413,0.703114,101,03_A8A2,1.0,101_03_A8A2_1.0,2,17,105,True,86.0,0.061962,0.703114,False
250,3203.958,13747.188,0.810989,0.926031,102,03_A8A2,2.0,102_03_A8A2_2.0,2,4,380,True,249.0,0.085085,0.926031,False
361,664.072,16308.478,0.960874,0.926031,102,03_A8A2,2.0,102_03_A8A2_2.0,4,20,380,True,107.0,0.085085,0.926031,False
395,707.692,6879.534,0.906726,0.921382,103,03_A8A2,2.0,103_03_A8A2_2.0,2,11,405,True,394.0,0.088752,0.921382,False
118,3495.423,6453.479,0.648662,0.625409,105,03_A8A2,2.0,105_03_A8A2_2.0,2,45,171,True,117.0,0.253688,0.625409,False
123,2816.026,6251.234,0.689429,0.659821,106,03_A8A2,2.0,106_03_A8A2_2.0,4,13,457,True,98.0,0.458846,0.659821,False
192,1301.652,1910.887,0.594821,0.766886,107,03_A8A2,2.0,107_03_A8A2_2.0,2,12,1355,True,191.0,0.071199,0.766886,False
659,1286.655,9136.329,0.876556,0.766886,107,03_A8A2,2.0,107_03_A8A2_2.0,7,18,1355,True,233.0,0.071199,0.766886,False
897,2363.535,8005.4,0.772056,0.657256,110,03_A8A2,2.0,110_03_A8A2_2.0,2,62,1125,True,896.0,0.038866,0.657256,False
1062,2717.736,5074.601,0.65123,0.657256,110,03_A8A2,2.0,110_03_A8A2_2.0,4,64,1125,True,103.0,0.038866,0.657256,False
78,-48.296,7632.008,1.006368,1.074667,111,03_A8A2,2.0,111_03_A8A2_2.0,2,3,80,True,77.0,0.044568,1.074667,False
268,1942.189,7010.733,0.783066,0.793369,114,03_A8A2,2.0,114_03_A8A2_2.0,2,18,285,True,267.0,0.089608,0.793369,False
322,6083.599,5082.775,0.455186,0.561527,116,03_A8A2,2.0,116_03_A8A2_2.0,2,14,335,True,321.0,0.108064,0.561527,False
79,4314.383,7688.77,0.640563,0.85788,117,03_A8A2,2.0,117_03_A8A2_2.0,2,2,80,True,78.0,0.094853,0.85788,False
799,3264.723,18248.028,0.848242,0.541254,119,03_A8A2,2.0,119_03_A8A2_2.0,2,5,825,True,798.0,0.023389,0.541254,False
55,924.028,12146.693,0.929306,0.775572,123,03_A8A2,2.0,123_03_A8A2_2.0,2,11,65,True,54.0,-0.003952,0.775572,False
410,993.145,7349.215,0.880952,0.935329,128,03_A8A2,2.0,128_03_A8A2_2.0,2,26,435,True,409.0,0.050733,0.935329,False
154,348.332,7126.305,0.953398,0.875739,138,03_A8A2,2.0,138_03_A8A2_2.0,6,6,510,True,59.0,0.181444,0.875739,False
243,1400.793,5521.206,0.797632,0.875739,138,03_A8A2,2.0,138_03_A8A2_2.0,12,3,510,True,51.0,0.181444,0.875739,False
365,375.276,6747.83,0.947316,0.875739,138,03_A8A2,2.0,138_03_A8A2_2.0,16,28,510,True,59.0,0.181444,0.875739,False
340,5504.439,8824.528,0.615852,0.537081,141,03_A8A2,2.0,141_03_A8A2_2.0,2,10,755,True,339.0,0.064018,0.537081,False
293,4612.286,4039.452,0.466895,0.631049,144,03_A8A2,2.0,144_03_A8A2_2.0,5,33,325,True,53.0,0.062669,0.631049,False
470,4752.898,4590.785,0.491325,0.570214,146,03_A8A2,2.0,146_03_A8A2_2.0,7,120,1791,True,108.0,0.27167,0.570214,False
1179,3727.28,5195.637,0.58228,0.570214,146,03_A8A2,2.0,146_03_A8A2_2.0,14,3,1791,True,91.0,0.27167,0.570214,False
157,6106.992,6454.515,0.513833,0.502075,161,03_A8A2,2.0,161_03_A8A2_2.0,6,51,466,True,64.0,0.310489,0.502075,False
149,5788.969,6694.682,0.536276,0.567147,164,03_A8A2,2.0,164_03_A8A2_2.0,3,34,1791,True,65.0,0.396215,0.567147,False
